No,Stock,Prev,Open,High,Low,Last,Chg,Chg %,Freq,TVol,TVal (K),
"521","ROTI","1,440","1,440","1,440","1,385","1,395","-45","-3.12","66","610","85,107",
"522","RUIS","246","244","244","230","234","-12","-4.88","21","557","12,879",
"523","SAFE","182","182","185","182","185","3","1.65","93","1,528","28,070",
"524","SAME","384","386","388","374","382","-2","-0.52","667","120,878","4,618,332",
"525","SAMF","398","398","398","398","398","0","0.00","1","2","79",
"526","SAPX","2,130","2,130","2,130","1,990","1,990","-140","-6.57","4","24","4,824",
"527","SATU","50","50","50","50","50","0","0.00","2","12","60",
"528","SBAT","92","86","89","86","86","-6","-6.52","452","88,142","758,650",
"529","SBAT-W","9","9","9","8","9","0","0.00","29","9,954","8,726",
"530","SCCO","9,600","9,700","9,700","9,500","9,500","-100","-1.04","15","32","30,850",
"531","SCMA","2,200","2,200","2,230","2,120","2,200","0","0.00","903","20,525","4,503,127",
"532","SCNP","252","246","246","246","246","-6","-2.38","3","622","15,301",
"533","SDMU","50","50","50","50","50","0","0.00","4","112","560",
"534","SDPC","110","111","112","109","110","0","0.00","20","876","9,694",
"535","SDRA","675","685","685","675","675","0","0.00","5","5","339",
"536","SFAN","1,275","1,325","1,340","1,270","1,280","5","0.39","121","4,115","526,382",
"537","SGER","645","645","655","610","615","-30","-4.65","491","19,197","1,221,681",
"538","SGER-W","398","380","392","302","392","-6","-1.51","6","17","641",
"539","SGRO","1,750","1,750","1,750","1,730","1,735","-15","-0.86","22","141","24,469",
"540","SHIP","620","620","630","615","620","0","0.00","100","4,314","268,475",
"541","SIDO","760","770","775","760","770","10","1.32","3,554","123,551","9,492,324",
"542","SILO","5,300","5,300","5,300","5,250","5,300","0","0.00","52","406","214,910",
"543","SIMP","404","404","408","398","402","-2","-0.50","451","45,929","1,847,586",
"544","SINI","330","350","350","322","322","-8","-2.42","3","11","364",
"545","SINI-W","165","190","190","190","190","25","15.15","1","1","19",
"546","SIPD","1,295","1,315","1,315","1,315","1,315","20","1.54","2","3","394",
"547","SKBM","352","350","370","350","352","0","0.00","4","30","1,087",
"548","SKLT","1,630","1,620","1,620","1,620","1,620","-10","-0.61","1","13","2,106",
"549","SKRN","755","760","840","760","790","35","4.64","1,105","23,842","1,867,355",
"550","SLIS","4,600","4,600","4,630","4,550","4,610","10","0.22","12","272","125,615",
"551","SMAR","3,700","3,700","3,700","3,650","3,650","-50","-1.35","11","90","32,865",
"552","SMBR","860","870","915","850","890","30","3.49","1,573","84,992","7,480,767",
"553","SMCB","1,775","1,775","1,800","1,720","1,750","-25","-1.41","99","2,298","401,355",
"554","SMDM","105","98","98","98","98","-7","-6.67","2","114","1,117",
"555","SMDR","282","282","282","268","276","-6","-2.13","228","14,547","401,012",
"556","SMGR","10,950","11,075","11,300","11,000","11,150","200","1.83","1,928","18,006","20,132,667",
"557","SMKL","198","198","199","198","198","0","0.00","89","13,035","258,103",
"558","SMKL-W","12","11","12","10","12","0","0.00","7","677","732",
"559","SMMA","12,000","11,925","11,925","11,750","11,750","-250","-2.08","5","7","8,282",
"560","SMMT","103","104","105","99","104","1","0.97","13","265","2,660",
"561","SMRA","720","725","735","715","725","5","0.69","2,048","93,406","6,778,557",
"562","SMSM","1,290","1,290","1,295","1,280","1,285","-5","-0.39","257","3,832","494,009",
"563","SOCI","193","185","206","185","196","3","1.55","1,374","212,980","4,189,487",
"564","SOFA","100","109","109","99","99","-1","-1.00","2","5","50",
"565","SOFA-W","3","2","3","2","3","0","0.00","7","27","5",
"566","SOHO","4,990","4,980","5,100","4,900","4,950","-40","-0.80","24","68","33,799",
"567","SOSS","318","338","338","316","316","-2","-0.63","3","4","129",
"568","SOSS-W","29","29","37","29","34","5","17.24","12","254","763",
"569","SOTS","294","294","302","294","296","2","0.68","409","20,461","610,477",
"570","SOTS-W","17","18","18","17","17","0","0.00","7","287","488",
"571","SPMA","300","296","298","296","298","-2","-0.67","5","18","535",
"572","SPTO","498","500","510","498","500","2","0.40","40","927","46,390",
"573","SQMI","312","312","322","312","320","8","2.56","152","14,547","464,545",
"574","SRAJ","162","162","162","156","162","0","0.00","8","405","6,536",
"575","SRIL","220","232","244","220","242","22","10.00","4,492","1,217,999","28,802,000",
"576","SRSN","54","55","55","54","55","1","1.85","30","2,485","13,510",
"577","SRTG","5,175","5,200","5,450","5,175","5,300","125","2.42","790","19,105","10,172,797",
"578","SSIA","466","468","505","468","505","39","8.37","5,185","1,087,650","53,361,885",
"579","SSMS","1,030","1,030","1,045","1,020","1,045","15","1.46","1,178","64,575","6,687,833",
"580","STAR","92","102","102","91","91","-1","-1.09","10","226","2,079",
"581","SURE","2,210","2,210","2,250","2,210","2,250","40","1.81","15","45","10,051",
"582","SWAT","96","97","99","96","99","3","3.12","13","957","9,310",
"583","TALF","242","268","270","268","268","26","10.74","4","4","107",
"584","TAMA","81","81","85","81","84","3","3.70","663","102,567","851,593",
"585","TAMA-W","6","5","6","5","6","0","0.00","4","153","76",
"586","TARA","50","50","50","50","50","0","0.00","2","2","10",
"587","TAXI","50","50","50","50","50","0","0.00","2","2","10",
"588","TBIG","2,520","2,430","2,440","2,350","2,400","-120","-4.76","7,290","1,033,209","245,997,674",
"589","TBLA","905","910","925","905","915","10","1.10","330","24,213","2,218,323",
"590","TBMS","1,040","1,035","1,035","1,015","1,020","-20","-1.92","3","3","307",
"591","TCID","6,350","6,350","6,350","6,350","6,350","0","0.00","6","83","52,705",
"592","TCPI","7,625","7,625","7,800","7,550","7,675","50","0.66","6,729","83,959","64,088,755",
"593","TDPM","118","120","127","114","119","1","0.85","125","5,851","69,206",
"594","TEBE","490","490","490","490","490","0","0.00","3","51","2,499",
"595","TFAS","440","422","424","410","412","-28","-6.36","66","3,624","148,682",
"596","TFCO","452","452","452","452","452","0","0.00","2","84","3,796",
"597","TGRA","180","182","195","179","184","4","2.22","2,412","383,870","7,180,263",
"598","TIFA","650","650","650","650","650","0","0.00","7","155","10,075",
"599","TINS","1,910","1,880","2,040","1,870","1,980","70","3.66","19,825","1,172,936","230,513,397",
"600","TIRT","50","56","56","50","50","0","0.00","17","2,051","10,263",
"601","TKIM","14,600","14,750","14,750","14,350","14,575","-25","-0.17","2,227","24,633","35,763,535",
"602","TLKM","3,270","3,250","3,310","3,220","3,300","30","0.92","7,851","349,682","114,382,553",
"603","TMAS","124","124","126","122","123","-1","-0.81","26","568","7,015",
"604","TMPO","170","171","171","170","170","0","0.00","3","22","374",
"605","TNCA","232","232","248","232","248","16","6.90","10","733","17,007",
"606","TOBA","505","535","540","530","540","35","6.93","35","3,588","193,267",
"607","TOPS","50","50","50","50","50","0","0.00","5","38","190",
"608","TOTL","346","348","356","348","354","8","2.31","107","2,743","96,536",
"609","TOTO","214","214","218","212","214","0","0.00","27","1,735","37,130",
"610","TOWR","1,005","1,020","1,030","1,000","1,025","20","1.99","6,386","872,450","88,802,610",
"611","TOYS","476","476","486","474","476","0","0.00","465","28,147","1,353,072",
"612","TOYS-W","7","7","7","6","7","0","0.00","8","3,453","2,416",
"613","TPIA","10,575","10,600","10,750","10,600","10,675","100","0.95","1,025","37,243","39,735,035",
"614","TPMA","825","825","835","825","825","0","0.00","7","627","51,827",
"615","TRIM","93","94","96","94","95","2","2.15","34","5,694","53,987",
"616","TRIN","188","190","199","190","195","7","3.72","606","113,457","2,201,199",
"617","TRIN-W","10","9","10","9","10","0","0.00","16","15,592","14,033",
"618","TRIS","106","104","113","100","103","-3","-2.83","37","565","5,785",
"619","TRJA","177","187","187","172","176","-1","-0.56","56","1,581","27,623",
"620","TRST","398","398","398","398","398","0","0.00","2","4","159",
"621","TRUK","276","276","286","274","276","0","0.00","477","29,104","814,667",
"622","TRUS","338","344","344","344","344","6","1.78","1","1","34",
"623","TSPC","1,445","1,460","1,520","1,450","1,495","50","3.46","578","14,588","2,182,584",
"624","TUGU","1,645","1,615","1,615","1,615","1,615","-30","-1.82","10","302","48,773",
"625","UANG","210","230","230","196","196","-14","-6.67","6","288","5,763",
"626","UCID","1,445","1,460","1,470","1,460","1,460","15","1.04","28","125","18,289",
"627","UFOE","183","246","246","246","246","63","34.43","4","51","1,254",
"628","ULTJ","1,540","1,540","1,570","1,540","1,560","20","1.30","295","4,833","753,781",
"629","UNIC","4,040","4,120","4,120","4,120","4,120","80","1.98","1","1","412",
"630","UNIT","153","143","149","143","146","-7","-4.58","14","203","2,912",
"631","UNSP","117","120","120","113","117","0","0.00","39","562","6,464",
"632","UNTR","22,575","22,900","22,900","22,200","22,650","75","0.33","3,817","27,321","61,685,760",
"633","UNVR","7,000","7,100","7,325","7,000","7,200","200","2.86","4,194","72,575","51,723,705",
"634","URBN","462","480","480","432","462","0","0.00","16","1,030","47,570",
"635","URBN-W","8","8","9","8","9","1","12.50","2","5","4",
"636","VICI","394","394","404","394","398","4","1.02","567","43,113","1,721,143",
"637","VICO","79","79","80","79","80","1","1.27","14","310","2,459",
"638","VINS","86","90","90","88","89","3","3.49","12","47","420",
"639","VIVA","50","50","50","50","50","0","0.00","17","659","3,295",
"640","VOKS","212","228","228","208","212","0","0.00","23","284","6,025",
"641","WAPO","69","69","69","65","65","-4","-5.80","12","177","1,174",
"642","WEGE","212","214","224","212","220","8","3.77","1,589","333,384","7,300,621",
"643","WEHA","57","57","58","57","57","0","0.00","54","3,773","21,611",
"644","WICO","428","416","428","416","428","0","0.00","7","22","938",
"645","WIFI","635","635","655","635","655","20","3.15","298","65,860","4,248,554",
"646","WIFI-W","75","90","90","70","82","7","9.33","10","327","2,819",
"647","WIIM","535","540","565","535","560","25","4.67","2,292","289,888","15,996,554",
"648","WIKA","1,905","1,930","2,030","1,900","1,980","75","3.94","9,665","526,615","103,668,295",
"649","WINS","99","101","104","97","100","1","1.01","51","3,017","29,753",
"650","WMUU","242","302","302","256","302","60","24.79","51,458","8,193,711","241,057,436",
"651","WOMF","244","242","260","242","254","10","4.10","53","1,338","34,240",
"652","WOOD","610","610","625","610","620","10","1.64","371","25,922","1,602,474",
"653","WOWS","56","56","61","54","56","0","0.00","1,350","258,710","1,490,149",
"654","WSBP","250","256","264","248","256","6","2.40","4,833","972,654","24,840,116",
"655","WSKT","1,400","1,400","1,490","1,390","1,440","40","2.86","15,307","1,257,904","181,385,625",
"656","WTON","344","350","360","342","356","12","3.49","1,633","256,237","9,054,014",
"657","XBNI","1,015","1,027","1,027","1,027","1,027","12","1.18","2","10","1,027",
"658","XCID","84","80","84","80","84","0","0.00","13","23","188",
"659","XCLQ","96","96","98","96","98","2","2.08","3","13","125",
"660","XDSG","960","963","963","963","963","3","0.31","1","5","481",
"661","XIHD","454","454","454","454","454","0","0.00","2","2","90",
"662","XIIC","1,017","1,025","1,025","1,025","1,025","8","0.79","1","1","102",
"663","XIIF","577","582","582","582","582","5","0.87","1","1","58",
"664","XIIT","519","519","519","519","519","0","0.00","5","6","311",
"665","XIJI","644","644","650","644","650","6","0.93","2","3","194",
"666","XILV","113","113","114","113","114","1","0.88","3","3","34",
"667","XIML","255","253","253","253","253","-2","-0.78","2","2","50",
"668","XIPI","179","179","179","179","179","0","0.00","1","40","716",
"669","XISC","770","785","785","782","782","12","1.56","3","31","2,431",
"670","XISI","335","333","333","326","326","-9","-2.69","2","12","398",
"671","XISR","381","381","381","381","381","0","0.00","5","111","4,229",
"672","XKMS","1,038","1,041","1,050","1,041","1,050","12","1.16","7","7","732",
"673","XNVE","151","152","154","151","154","3","1.99","8","307","4,667",
"674","XPTD","540","510","510","510","510","-30","-5.56","2","2","102",
"675","XSSI","90","88","88","88","88","-2","-2.22","3","23","202",
"676","YELO","51","51","51","50","50","-1","-1.96","22","2,654","13,466",
"677","YELO-W","5","6","6","6","6","1","20.00","4","1,352","811",
"678","YPAS","380","380","380","354","370","-10","-2.63","9","33","1,186",
"679","YULE","432","432","442","432","440","8","1.85","4","37","1,619",
"680","ZBRA","50","50","50","50","50","0","0.00","4","19","95",
"681","ZINC","129","130","131","126","129","0","0.00","3,022","691,841","8,907,796",
"682","ZONE","420","418","422","418","422","2","0.48","18","1,067","44,902",
