No,Stock,Prev,Open,High,Low,Last,Chg,Chg %,Freq,TVol,TVal (K),
"476","POLI","835","845","845","785","785","-50","-5.99","10","47","3,718",
"477","POLL","3,930","3,900","3,930","3,850","3,930","0","0.00","420","5,379","2,079,739",
"478","POLU","645","645","725","645","645","0","0.00","8","24","1,557",
"479","POLY","54","54","55","51","55","1","1.85","34","1,540","8,313",
"480","POWR","710","710","720","705","715","5","0.70","811","26,700","1,899,643",
"481","PPGL","111","111","114","111","113","2","1.80","291","37,912","428,119",
"482","PPGL-W","8","8","9","8","9","1","12.50","8","3,478","2,786",
"483","PPRE","202","208","212","200","210","8","3.96","473","57,046","1,175,602",
"484","PPRO","74","75","77","73","75","1","1.35","1,596","647,781","4,851,439",
"485","PRAS","140","140","160","140","156","16","11.43","28","188","2,985",
"486","PRDA","3,390","3,370","3,390","3,360","3,380","-10","-0.29","28","72","24,333",
"487","PRIM","204","204","224","200","212","8","3.92","53","1,495","30,767",
"488","PRIM-W","4","4","4","3","4","0","0.00","14","164","63",
"489","PSAB","222","222","224","216","218","-4","-1.80","501","72,623","1,593,354",
"490","PSDN","108","108","118","108","113","5","4.63","11","9,766","112,717",
"491","PSGO","101","101","102","100","102","1","0.99","18","1,399","14,120",
"492","PSSI","166","166","167","164","166","0","0.00","113","24,722","406,882",
"493","PTBA","2,490","2,490","2,500","2,400","2,430","-60","-2.41","12,101","497,465","120,983,501",
"494","PTDU","915","935","1,140","855","860","-55","-6.01","265","3,471","361,511",
"495","PTPP","1,670","1,710","1,750","1,650","1,705","35","2.10","5,575","416,537","70,994,255",
"496","PTPW","1,290","1,290","1,310","1,290","1,295","5","0.39","220","6,773","880,803",
"497","PTRO","1,795","1,850","1,855","1,815","1,850","55","3.06","231","2,816","518,544",
"498","PTSN","191","191","196","191","195","4","2.09","79","3,285","63,858",
"499","PTSP","3,350","3,340","3,340","3,340","3,340","-10","-0.30","1","15","5,010",
"500","PURA","116","116","117","114","117","1","0.86","3,721","6,088,430","70,625,434",
"501","PURA-W","20","20","21","20","20","0","0.00","16","5,182","10,480",
"502","PURE","158","158","198","154","189","31","19.62","5,642","1,726,653","31,360,986",
"503","PURE-W","13","13","17","12","16","3","23.08","182","79,139","120,801",
"504","PWON","496","505","510","498","500","4","0.81","2,659","182,276","9,138,977",
"505","PYFA","1,010","1,015","1,080","1,000","1,015","5","0.50","1,872","59,876","6,188,294",
